[ Info: 48_33: File for first layer exists [6], 17782794101; loading ...
[ Info: 48_33: layer 2/3, base field no. 55/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 55/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 55/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 56/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 56/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 56/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 57/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 57/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 58/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 58/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 59/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 59/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 59/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 60/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 60/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 61/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 61/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 62/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 62/241, checking fields: 9
[ Info: 48_33: layer 2/3, base field no. 62/241, 1/9
[ Info: 48_33: layer 2/3, base field no. 62/241, 2/9
[ Info: 48_33: layer 2/3, base field no. 62/241, 3/9
[ Info: 48_33: layer 2/3, base field no. 62/241, 4/9
[ Info: 48_33: layer 2/3, base field no. 62/241, 5/9
[ Info: 48_33: layer 2/3, base field no. 62/241, 6/9
[ Info: 48_33: layer 2/3, base field no. 62/241, 7/9
[ Info: 48_33: layer 2/3, base field no. 62/241, 8/9
[ Info: 48_33: layer 2/3, base field no. 62/241, 9/9
[ Info: 48_33: layer 2/3, base field no. 63/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 63/241, checking fields: 2
[ Info: 48_33: layer 2/3, base field no. 63/241, 1/2
[ Info: 48_33: layer 2/3, base field no. 63/241, 2/2
[ Info: 48_33: layer 2/3, base field no. 64/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 64/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 64/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 65/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 65/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 65/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 66/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 66/241, checking fields: 2
[ Info: 48_33: layer 2/3, base field no. 66/241, 1/2
[ Info: 48_33: layer 2/3, base field no. 66/241, 2/2
