[ Info: 48_40: layer 2/2, base field no. 62/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 63/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 63/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 64/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 64/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 65/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 65/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 66/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 66/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 67/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 67/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 68/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 68/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 69/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 69/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 70/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 70/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 71/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 71/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 72/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 72/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 73/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 73/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 74/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 74/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 75/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 75/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 76/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 76/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 77/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 77/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 78/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 78/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 79/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 79/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 80/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 80/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 81/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 81/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 82/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 82/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 83/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 83/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 84/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 84/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 85/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 85/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 86/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 86/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 87/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 87/88, checking fields: 0
[ Info: 48_40: layer 2/2, base field no. 88/88, constructing abelian extensions
[ Info: 48_40: layer 2/2, base field no. 88/88, checking fields: 0
 68.695565 seconds (197.75 M allocations: 12.438 GiB, 11.91% gc time, 21.14% compilation time: 2% of which was recompilation)
