[ Info: 88_4: File for first layer exists [2, 4], 18738174228604; loading ...
[ Info: 88_4: layer 2/2, base field no. 74/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 75/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 75/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 76/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 76/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 77/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 77/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 78/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 78/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 79/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 79/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 80/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 80/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 81/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 81/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 82/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 82/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 83/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 83/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 84/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 84/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 85/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 85/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 86/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 86/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 87/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 87/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 88/264, constructing abelian extensions
